max_depth,min_samples_leaf,BER
2.0,2.0,0.2506085518761769
2.0,3.0,0.2506085518761769
2.0,5.0,0.2506085518761769
2.0,10.0,0.2506085518761769
2.0,20.0,0.2506085518761769
2.0,50.0,0.2506085518761769
2.0,100.0,0.2506085518761769
2.0,200.0,0.2506085518761769
2.0,500.0,0.2506085518761769
3.0,2.0,0.1245234923988426
3.0,3.0,0.1245234923988426
3.0,5.0,0.1245234923988426
3.0,10.0,0.1245234923988426
3.0,20.0,0.1245234923988426
3.0,50.0,0.1245234923988426
3.0,100.0,0.1245234923988426
3.0,200.0,0.1245234923988426
3.0,500.0,0.1245234923988426
5.0,2.0,0.00022964221742525145
5.0,3.0,0.00022964221742525145
5.0,5.0,0.00022964221742525145
5.0,10.0,0.00022964221742525145
5.0,20.0,0.00022964221742525145
5.0,50.0,0.00022964221742525145
5.0,100.0,0.00022964221742525145
5.0,200.0,0.00022964221742525145
5.0,500.0,0.00022964221742525145
7.0,2.0,0.00022964221742525145
7.0,3.0,0.00024112432829651403
7.0,5.0,0.0002526064391677766
7.0,10.0,0.00024112432829651403
7.0,20.0,0.0002181601065539889
7.0,50.0,0.00020667799568272632
7.0,100.0,0.00020667799568272632
7.0,200.0,0.00020667799568272632
7.0,500.0,0.0002181601065539889
9.0,2.0,0.00033298121526661464
9.0,3.0,0.00035594543700913974
9.0,5.0,0.00033298121526661464
9.0,10.0,0.0002985348826528269
9.0,20.0,0.0002526064391677766
9.0,50.0,0.0002181601065539889
9.0,100.0,0.0002181601065539889
9.0,200.0,0.0002181601065539889
9.0,500.0,0.0002181601065539889
15.0,2.0,0.0004248381022367152
15.0,3.0,0.00041335599136545264
15.0,5.0,0.0003789096587516649
15.0,10.0,0.00034446332613787716
15.0,20.0,0.0002985348826528269
15.0,50.0,0.0002526064391677766
15.0,100.0,0.00022964221742525145
15.0,200.0,0.0002181601065539889
15.0,500.0,0.0002181601065539889
25.0,2.0,0.00041335599136545264
25.0,3.0,0.00040187388049419006
25.0,5.0,0.0003674275478804023
25.0,10.0,0.00034446332613787716
25.0,20.0,0.0002985348826528269
25.0,50.0,0.0002526064391677766
25.0,100.0,0.00022964221742525145
25.0,200.0,0.00022964221742525145
25.0,500.0,0.0002181601065539889
50.0,2.0,0.0004248381022367152
50.0,3.0,0.00040187388049419006
50.0,5.0,0.0003789096587516649
50.0,10.0,0.00034446332613787716
50.0,20.0,0.0002985348826528269
50.0,50.0,0.00026408855003903916
50.0,100.0,0.0002181601065539889
50.0,200.0,0.0002181601065539889
50.0,500.0,0.0002181601065539889
100.0,2.0,0.00041335599136545264
100.0,3.0,0.0003903917696229275
100.0,5.0,0.0003789096587516649
100.0,10.0,0.00033298121526661464
100.0,20.0,0.0002870527717815643
100.0,50.0,0.00026408855003903916
100.0,100.0,0.00022964221742525145
100.0,200.0,0.0002181601065539889
100.0,500.0,0.0002181601065539889
