max_depth,min_samples_leaf,BER
2.0,2.0,0.2546617370137326
2.0,3.0,0.2546617370137326
2.0,5.0,0.2546617370137326
2.0,10.0,0.2546617370137326
2.0,20.0,0.2546617370137326
2.0,50.0,0.2546617370137326
2.0,100.0,0.2546617370137326
2.0,200.0,0.2546617370137326
2.0,500.0,0.2546617370137326
3.0,2.0,0.1355692830569972
3.0,3.0,0.1355692830569972
3.0,5.0,0.1355692830569972
3.0,10.0,0.1355692830569972
3.0,20.0,0.1355692830569972
3.0,50.0,0.1355692830569972
3.0,100.0,0.1355692830569972
3.0,200.0,0.1355692830569972
3.0,500.0,0.1355692830569972
5.0,2.0,0.01655720387636063
5.0,3.0,0.01655720387636063
5.0,5.0,0.01655720387636063
5.0,10.0,0.01655720387636063
5.0,20.0,0.01655720387636063
5.0,50.0,0.01655720387636063
5.0,100.0,0.01655720387636063
5.0,200.0,0.01655720387636063
5.0,500.0,0.01655720387636063
7.0,2.0,0.016752399761172095
7.0,3.0,0.016752399761172095
7.0,5.0,0.016752399761172095
7.0,10.0,0.016752399761172095
7.0,20.0,0.016752399761172095
7.0,50.0,0.016717953428558308
7.0,100.0,0.01668350709594452
7.0,200.0,0.01663757865245947
7.0,500.0,0.01655720387636063
9.0,2.0,0.017728379185229414
9.0,3.0,0.017739861296100674
9.0,5.0,0.0176709686308731
9.0,10.0,0.01765948652000184
9.0,20.0,0.017579111743903
9.0,50.0,0.017326505304735222
9.0,100.0,0.01713130941992376
9.0,200.0,0.016798328204657143
9.0,500.0,0.016580168098103157
15.0,2.0,0.021907867542368988
15.0,3.0,0.02191934965324025
15.0,5.0,0.0218734212097552
15.0,10.0,0.02156340421623111
15.0,20.0,0.020541496348688744
15.0,50.0,0.01900289349193956
15.0,100.0,0.01793505718091214
15.0,200.0,0.01722316630689386
15.0,500.0,0.01674091765030083
25.0,2.0,0.025134340697193773
25.0,3.0,0.02503100169935241
25.0,5.0,0.024996555366738622
25.0,10.0,0.02423873604923529
25.0,20.0,0.021942313874982775
25.0,50.0,0.0197262664768291
25.0,100.0,0.018233592063564966
25.0,200.0,0.017292058972121434
25.0,500.0,0.01674091765030083
50.0,2.0,0.025272126027648924
50.0,3.0,0.025272126027648924
50.0,5.0,0.025065448031966198
50.0,10.0,0.024307628714462865
50.0,20.0,0.021942313874982775
50.0,50.0,0.01980664125292794
50.0,100.0,0.018233592063564966
50.0,200.0,0.017292058972121434
50.0,500.0,0.01674091765030083
100.0,2.0,0.025226197584163872
100.0,3.0,0.025076930142837458
100.0,5.0,0.024996555366738622
100.0,10.0,0.024296146603591605
100.0,20.0,0.021884903320626464
100.0,50.0,0.019760712809442887
100.0,100.0,0.01821062784182244
100.0,200.0,0.017292058972121434
100.0,500.0,0.01674091765030083
