max_depth,min_samples_leaf,BER
2.0,2.0,0.24894364579984385
2.0,3.0,0.24894364579984385
2.0,5.0,0.24894364579984385
2.0,10.0,0.24894364579984385
2.0,20.0,0.24894364579984385
2.0,50.0,0.24894364579984385
2.0,100.0,0.24894364579984385
2.0,200.0,0.24894364579984385
2.0,500.0,0.24894364579984385
3.0,2.0,0.12315712120516235
3.0,3.0,0.12315712120516235
3.0,5.0,0.12315712120516235
3.0,10.0,0.12315712120516235
3.0,20.0,0.12315712120516235
3.0,50.0,0.12315712120516235
3.0,100.0,0.12315712120516235
3.0,200.0,0.12315712120516235
3.0,500.0,0.12315712120516235
5.0,2.0,0.0003903917696229275
5.0,3.0,0.0003903917696229275
5.0,5.0,0.0003903917696229275
5.0,10.0,0.0003903917696229275
5.0,20.0,0.0003903917696229275
5.0,50.0,0.0003903917696229275
5.0,100.0,0.0003903917696229275
5.0,200.0,0.0003903917696229275
5.0,500.0,0.0003903917696229275
7.0,2.0,0.0005166949892068158
7.0,3.0,0.0005052128783355532
7.0,5.0,0.00048224865659302806
7.0,10.0,0.0004248381022367152
7.0,20.0,0.00041335599136545264
7.0,50.0,0.00040187388049419006
7.0,100.0,0.00040187388049419006
7.0,200.0,0.0003903917696229275
7.0,500.0,0.0003903917696229275
9.0,2.0,0.0005970697653056538
9.0,3.0,0.0006085518761769163
9.0,5.0,0.0005855876544343913
9.0,10.0,0.0005052128783355532
9.0,20.0,0.0004363202131079778
9.0,50.0,0.00041335599136545264
9.0,100.0,0.00040187388049419006
9.0,200.0,0.0003903917696229275
9.0,500.0,0.0003903917696229275
15.0,2.0,0.0005855876544343913
15.0,3.0,0.000620033987048179
15.0,5.0,0.0005626234326918661
15.0,10.0,0.0005052128783355532
15.0,20.0,0.0004478023239792403
15.0,50.0,0.00041335599136545264
15.0,100.0,0.00040187388049419006
15.0,200.0,0.0003903917696229275
15.0,500.0,0.0003903917696229275
25.0,2.0,0.0005741055435631286
25.0,3.0,0.0006085518761769163
25.0,5.0,0.0005626234326918661
25.0,10.0,0.0005052128783355532
25.0,20.0,0.0004478023239792403
25.0,50.0,0.00041335599136545264
25.0,100.0,0.00040187388049419006
25.0,200.0,0.0003903917696229275
25.0,500.0,0.0003903917696229275
50.0,2.0,0.0006085518761769163
50.0,3.0,0.0006085518761769163
50.0,5.0,0.000620033987048179
50.0,10.0,0.0004937307674642906
50.0,20.0,0.0004363202131079778
50.0,50.0,0.00041335599136545264
50.0,100.0,0.00040187388049419006
50.0,200.0,0.0003903917696229275
50.0,500.0,0.0003903917696229275
100.0,2.0,0.0005970697653056538
100.0,3.0,0.0006429982087907041
100.0,5.0,0.0005626234326918661
100.0,10.0,0.0004937307674642906
100.0,20.0,0.0004363202131079778
100.0,50.0,0.00041335599136545264
100.0,100.0,0.00040187388049419006
100.0,200.0,0.0003903917696229275
100.0,500.0,0.0003903917696229275
