eps,min_samples,BER
0.05,20.0,0.4588546259553204
0.05,40.0,0.0006475970017636684
0.05,80.0,0.0015087632275132274
0.05,160.0,0.1349344135802469
0.05,320.0,0.5000367430922986
0.1,20.0,0.21457506613756613
0.1,40.0,0.09097130364491475
0.1,80.0,0.08899406599059377
0.1,160.0,0.00048225308641975306
0.1,320.0,0.0011780753968253968
0.2,20.0,0.4060364307760141
0.2,40.0,0.279980066872428
0.2,80.0,0.21635251322751323
0.2,160.0,0.2157623273074662
0.2,320.0,0.09192203115814226
0.3,20.0,0.5001837154614932
0.3,40.0,0.48514430849500295
0.3,80.0,0.3897339800117578
0.3,160.0,0.2801798574368019
0.3,320.0,0.21666253306878308
