eps,min_samples,BER
0.05,20.0,0.3680739271017049
0.05,40.0,0.3721501139035861
0.05,80.0,0.0007739013815402704
0.05,160.0,0.19945528365667253
0.05,320.0,0.49919394841269843
0.1,20.0,4.1335978835978834e-05
0.1,40.0,4.592886537330982e-05
0.1,80.0,6.889329805996472e-05
0.1,160.0,0.00010793283362727807
0.1,320.0,0.0004753637566137566
0.2,20.0,0.3433641975308642
0.2,40.0,4.1335978835978834e-05
0.2,80.0,4.1335978835978834e-05
0.2,160.0,4.1335978835978834e-05
0.2,320.0,4.1335978835978834e-05
0.3,20.0,0.5306161816578483
0.3,40.0,0.4846023478835979
0.3,80.0,0.3434767232510288
0.3,160.0,5.741108171663727e-05
0.3,320.0,4.363242210464433e-05
